Parameter,Mean,StdDev,CV,PValue
Anger,3.0000,2.7080,0.9027,0.5770
Hunger,2.5000,1.2910,0.5164,0.7474
Thirsty,4.0000,2.4495,0.6124,0.7030
Numbness,0.5000,1.0000,2.0000,0.2384
LeadingToExist,4.7500,2.6300,0.5537,0.7300
Sanity,3.7500,0.9574,0.2553,0.8730
ReadSpeed,4.2500,2.0616,0.4851,0.7621
BrainSpeed,3.2500,2.6300,0.8092,0.6161
DopamineLevel,4.5000,2.3805,0.5290,0.7415
Sleepiness,1.7500,0.9574,0.5471,0.7331
PainOfHand,6.2500,1.5000,0.2400,0.8806
Earwarm,4.7500,2.0616,0.4340,0.7863
BPM,65.5000,4.1231,0.0629,0.9685
